Service,Entity Set,Data Source ID,Report Name,Description,URL Path
ana_businessanalytics_analytics.svc,RPCCAB03_Q001QueryResults,CCAB03,User - Access Rights Change Documents,"Provides data about the access rights change documents for users, including changes to the assignment of work centers, work center views, and access rights.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCCAB03_Q001QueryResults
ana_businessanalytics_analytics.svc,RPCCABUSINESS_ROLEQueryResults,,,,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCCABUSINESS_ROLEQueryResults
ana_businessanalytics_analytics.svc,RPCCAKTPU01_Q002QueryResults,CCAKTPU01,Knowledge Transfer Learning Data,Provides data about which learning modules employees have passed.,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCCAKTPU01_Q002QueryResults
ana_businessanalytics_analytics.svc,RPCCAKTPU01_Q003QueryResults,CCAKTPU01,Knowledge Transfer Learning Data,Provides data about which learning modules employees have passed.,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCCAKTPU01_Q003QueryResults
ana_businessanalytics_analytics.svc,RPCCAKTPU01_Q004QueryResults,CCAKTPU01,Knowledge Transfer Learning Data,Provides data about which learning modules employees have passed.,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCCAKTPU01_Q004QueryResults
ana_businessanalytics_analytics.svc,RPCCARSODCONFLICTSQueryResults,,,,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCCARSODCONFLICTSQueryResults
ana_businessanalytics_analytics.svc,RPCCARURV01_Q001QueryResults,CCARURV01,Report Assignment Details,"Shows the history of the assignment of reports to work centers, including change data, assignment details, and whether access to reports is restricted.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCCARURV01_Q001QueryResults
ana_businessanalytics_analytics.svc,RPCCARUSRLOGQueryResults,,,,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCCARUSRLOGQueryResults
ana_businessanalytics_analytics.svc,RPCC_USER_BR_ASSGN_Q0001QueryResults,CC_USER_BR_ASSGN,,,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCC_USER_BR_ASSGN_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCC_VM1_Q0001QueryResults,CC_VM1,,,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCC_VM1_Q0001QueryResults
